XLOC_l2_015098
APOBEC3F
ZNF563
TLN2
SAMD9L
RHEBL1
SAMD4A
WDR74
MYH7
ZNF654
PCK2
FBLL1
HIP1R
NAALADL2
DOT1L
WIPF2
FILIP1
ELF1
ARHGAP4
ALDH1L2
IFIT3
DNAI2
CHN2
C9orf106
PLCL1
FAM46A
SH2D3C
MVP
C3orf19
FAM127C
TRA2B
DNAI1
CALCRL
RBM20
FLJ39632
ADAMTS8
FLJ44313
KIAA1239
UHRF1BP1
ZDHHC8
HERC6
SLC7A2
KRTAP5-4
GTF2IRD2B
WHAMMP3
JUN
PDE4DIP
IGSF9B
ARHGAP29
TAPBP
PDE4DIP
TBC1D10C
TTN
HLA-C
LOC646813
TRIM25
FLJ37786
MTVR2
PRB1
CLEC2B
OPTN
UBE2R2
FAM55B
NRL
SCLT1
HES4
CXCL10
MEF2B
MEF2B
GPER
LINC00246A
KIF22
ERO1LB
C6orf48
TRIM71
CADPS
GATA3
C3orf19
ANKRD31
FLJ43315
NXPH4
JPH1
SYT8
LOC401357
C5orf65
DDX58
GNN
KLF16
C9orf150
CHAC1
CHAC1
H2AFJ
HLA-F
HLA-B
HLA-A
XPA
RNASEK
TREX1
YAF2
LOC100128338
S100A7A
C1R
VSIG10L
PPP6R2
LOC100129113
ZNF441
ZC3HAV1
TNNT1
PARP10
HLA-B
PRIC285
CMPK2
AMOT
ODF2L
C20orf195
SPEF2
SIX5
ADM2
SH3BP2
DDX58
GAS2L1
KCNV1
KIRREL2
ULBP1
ULBP1
NRL
WHSC1
IFITM1
TRIM14
HLA-B
HLA-C
LOC200830
PMAIP1
LOC283454
MLK7-AS1
ARHGAP42
LOC728769
LOC338653
LOC338620
DKFZp451B082
JAK2
KCNT2
