#node	identifier	node_degree
PXMP4	9606.ENSP00000386385	1
RAB30	9606.ENSP00000435189	3
RAB35	9606.ENSP00000229340	3
RABGAP1L	9606.ENSP00000251507	1
RABGEF1	9606.ENSP00000370208	4
RAD1	9606.ENSP00000371469	0
RANGRF	9606.ENSP00000226105	1
RBCK1	9606.ENSP00000348632	18
RBM20	9606.ENSP00000358532	4
RBP1	9606.ENSP00000232219	2
RELB	9606.ENSP00000221452	34
RHEBL1	9606.ENSP00000301068	0
RIMKLB	9606.ENSP00000350136	1
RIMS3	9606.ENSP00000361769	1
RIOK2	9606.ENSP00000283109	3
RIPK2	9606.ENSP00000220751	20
RNASEK	9606.ENSP00000449500	2
RNF123	9606.ENSP00000328287	2
RNF31	9606.ENSP00000315112	17
ROR1	9606.ENSP00000360120	3
RRP8	9606.ENSP00000254605	9
RSAD2	9606.ENSP00000371471	76
RSRC2	9606.ENSP00000330188	3
RTL8B	9606.ENSP00000375268	0
RTL9	9606.ENSP00000419786	0
RTP4	9606.ENSP00000259030	63
S100A7A	9606.ENSP00000357718	0
SAMD4A	9606.ENSP00000452535	1
SAMD8	9606.ENSP00000500411	0
SAMD9	9606.ENSP00000369292	50
SAMD9L	9606.ENSP00000326247	64
SAMHD1	9606.ENSP00000493536	60
SCLT1	9606.ENSP00000281142	1
SCRG1	9606.ENSP00000296506	1
SCUBE3	9606.ENSP00000274938	1
SDC1	9606.ENSP00000370542	22
SDSL	9606.ENSP00000341117	4
SEMA3D	9606.ENSP00000284136	0
SERPINB2	9606.ENSP00000401645	4
SERPINI2	9606.ENSP00000481699	1
SERTAD1	9606.ENSP00000350633	4
SESN2	9606.ENSP00000253063	9
SH2D3C	9606.ENSP00000317817	17
SH3BP2	9606.ENSP00000424846	4
SHC2	9606.ENSP00000264554	3
SHISA2	9606.ENSP00000313079	0
SHISA5	9606.ENSP00000296444	1
SHMT2	9606.ENSP00000333667	21
SIX1	9606.ENSP00000494686	7
SIX5	9606.ENSP00000316842	2
SKIL	9606.ENSP00000415243	4
SLC13A3	9606.ENSP00000279027	0
SLC15A3	9606.ENSP00000227880	1
SLC16A6	9606.ENSP00000319991	1
SLC1A4	9606.ENSP00000234256	9
SLC25A25	9606.ENSP00000362160	1
SLC29A4	9606.ENSP00000380081	0
SLC33A1	9606.ENSP00000496241	1
SLC3A2	9606.ENSP00000367123	15
SLC4A10	9606.ENSP00000393066	0
SLC6A13	9606.ENSP00000339260	0
SLC7A11	9606.ENSP00000280612	9
SLC7A2	9606.ENSP00000004531	4
SLC7A3	9606.ENSP00000363417	3
SLC7A5	9606.ENSP00000261622	15
SMIM14	9606.ENSP00000295958	0
SOCS1	9606.ENSP00000496577	42
SP100	9606.ENSP00000343023	40
SP110	9606.ENSP00000258381	49
SPDYE5	9606.ENSP00000485398	0
SPEF2	9606.ENSP00000348314	4
SPSB1	9606.ENSP00000330221	0
SQOR	9606.ENSP00000456019	6
SREBF1	9606.ENSP00000348069	20
ST7L	9606.ENSP00000350734	0
STAMBP	9606.ENSP00000377633	3
STAT1	9606.ENSP00000354394	132
STAT2	9606.ENSP00000315768	89
STC2	9606.ENSP00000265087	2
STON1-GTF2A1L	9606.ENSP00000378236	0
STX1A	9606.ENSP00000222812	3
SYNPR	9606.ENSP00000418994	2
SYT8	9606.ENSP00000371394	2
TAF1D	9606.ENSP00000410409	5
TAP1	9606.ENSP00000346206	43
TAP2	9606.ENSP00000364032	21
TAPBP	9606.ENSP00000404833	24
TAPT1	9606.ENSP00000385347	1
TBC1D10C	9606.ENSP00000443654	4
TBC1D3B	9606.ENSP00000478473	0
TBRG1	9606.ENSP00000409016	2
TDRD7	9606.ENSP00000347444	26
TENT5A	9606.ENSP00000318298	1
THSD1	9606.ENSP00000258613	1
THUMPD2	9606.ENSP00000423933	1
TLN2	9606.ENSP00000453508	13
TLR3	9606.ENSP00000296795	69
TMBIM1	9606.ENSP00000409738	0
TMEM100	9606.ENSP00000465638	0
TMEM135	9606.ENSP00000306344	1
TMEM190	9606.ENSP00000291934	1
TMEM62	9606.ENSP00000260403	0
TMEM71	9606.ENSP00000349296	0
TNFAIP3	9606.ENSP00000481570	44
TNFRSF14	9606.ENSP00000347948	17
TNFRSF9	9606.ENSP00000478699	18
TNFSF10	9606.ENSP00000241261	50
TNNT1	9606.ENSP00000467176	4
TOR2A	9606.ENSP00000362381	0
TRA2B	9606.ENSP00000416959	6
