#node	identifier	node_degree
DOCK3	9606.ENSP00000266037	7
DOCK6	9606.ENSP00000294618	6
DOCK8	9606.ENSP00000394888	4
DOLK	9606.ENSP00000361667	32
DONSON	9606.ENSP00000307143	22
DPAGT1	9606.ENSP00000386597	33
DPF2	9606.ENSP00000252268	16
DPM1	9606.ENSP00000360638	49
DPM2	9606.ENSP00000322181	38
DPP6	9606.ENSP00000367001	5
DPYD	9606.ENSP00000359211	24
DSTYK	9606.ENSP00000356130	1
DYM	9606.ENSP00000269445	4
DYNC1H1	9606.ENSP00000348965	48
DYNC1I2	9606.ENSP00000380308	30
DYRK1A	9606.ENSP00000340373	37
EBF3	9606.ENSP00000357637	4
EDC3	9606.ENSP00000497737	13
EEF1A2	9606.ENSP00000217182	39
EFEMP2	9606.ENSP00000309953	5
EFL1	9606.ENSP00000268206	45
EFNB1	9606.ENSP00000204961	14
EFTUD2	9606.ENSP00000392094	80
EGF	9606.ENSP00000265171	68
EHMT1	9606.ENSP00000417980	27
EIF2AK2	9606.ENSP00000233057	36
EIF2AK3	9606.ENSP00000307235	28
EIF2B1	9606.ENSP00000416250	12
EIF2B2	9606.ENSP00000266126	10
EIF2B3	9606.ENSP00000353575	16
EIF2B4	9606.ENSP00000429323	16
EIF2B5	9606.ENSP00000497160	19
EIF2S3	9606.ENSP00000253039	54
ELAC2	9606.ENSP00000337445	22
ELOVL4	9606.ENSP00000358831	4
EMC1	9606.ENSP00000420608	7
EMG1	9606.ENSP00000470560	29
ENTPD1	9606.ENSP00000360250	10
EOMES	9606.ENSP00000388620	25
EP300	9606.ENSP00000263253	129
EPB41L1	9606.ENSP00000337168	14
EPG5	9606.ENSP00000282041	9
EPRS1	9606.ENSP00000355890	108
ERCC1	9606.ENSP00000013807	62
ERCC2	9606.ENSP00000375809	62
ERCC3	9606.ENSP00000285398	55
ERCC4	9606.ENSP00000310520	57
ERCC5	9606.ENSP00000498881	46
ERCC6	9606.ENSP00000348089	45
ERCC6L2	9606.ENSP00000499371	11
ERCC8	9606.ENSP00000265038	32
ESCO2	9606.ENSP00000306999	44
EXOC7	9606.ENSP00000334100	19
EXOSC3	9606.ENSP00000323046	18
EXOSC9	9606.ENSP00000368984	12
EXT2	9606.ENSP00000379032	9
EXTL3	9606.ENSP00000220562	5
EZR	9606.ENSP00000338934	33
FAM20C	9606.ENSP00000322323	8
FANCA	9606.ENSP00000373952	57
FANCB	9606.ENSP00000498215	28
FANCC	9606.ENSP00000289081	44
FANCD2	9606.ENSP00000287647	81
FANCE	9606.ENSP00000229769	85
FANCF	9606.ENSP00000330875	33
FANCG	9606.ENSP00000367910	41
FANCI	9606.ENSP00000310842	73
FANCL	9606.ENSP00000385021	35
FANCM	9606.ENSP00000267430	77
FAR1	9606.ENSP00000346874	20
FARS2	9606.ENSP00000316335	36
FARSB	9606.ENSP00000281828	41
FAT4	9606.ENSP00000377862	13
FBLN5	9606.ENSP00000345008	9
FBXL3	9606.ENSP00000347834	6
FBXL4	9606.ENSP00000358247	11
FBXO11	9606.ENSP00000384823	11
FBXO31	9606.ENSP00000310841	0
FBXW11	9606.ENSP00000265094	13
FDXR	9606.ENSP00000416515	23
FGF12	9606.ENSP00000413496	12
FGF13	9606.ENSP00000396198	29
FGF8	9606.ENSP00000321797	42
FGFR1	9606.ENSP00000393312	42
FGFR3	9606.ENSP00000339824	33
FH	9606.ENSP00000355518	53
FIG4	9606.ENSP00000230124	16
FKRP	9606.ENSP00000326570	18
FKTN	9606.ENSP00000223528	20
FLVCR2	9606.ENSP00000238667	0
FMN2	9606.ENSP00000318884	5
FOXG1	9606.ENSP00000339004	37
FOXH1	9606.ENSP00000366534	19
FOXRED1	9606.ENSP00000263578	41
FRAS1	9606.ENSP00000422834	4
FREM1	9606.ENSP00000412940	5
FREM2	9606.ENSP00000280481	9
FRMD4A	9606.ENSP00000350032	0
FRRS1L	9606.ENSP00000477141	7
FSHR	9606.ENSP00000384708	8
FTO	9606.ENSP00000418823	13
FUS	9606.ENSP00000254108	48
FUT8	9606.ENSP00000353910	4
G6PC3	9606.ENSP00000269097	7
GABBR2	9606.ENSP00000259455	23
GABRA2	9606.ENSP00000427603	15
GABRA5	9606.ENSP00000382953	22
GABRB2	9606.ENSP00000274547	17
GABRG2	9606.ENSP00000410732	25
GALC	9606.ENSP00000261304	8
GALK1	9606.ENSP00000225614	9
GALNT2	9606.ENSP00000355632	11
GAS1	9606.ENSP00000298743	8
GATA1	9606.ENSP00000365858	50
GATA6	9606.ENSP00000269216	25
GBA	9606.ENSP00000314508	13
GCSH	9606.ENSP00000319531	24
GEMIN4	9606.ENSP00000321706	11
GFM1	9606.ENSP00000264263	82
GFM2	9606.ENSP00000427004	21
GINS1	9606.ENSP00000262460	31
GJA1	9606.ENSP00000282561	37
GJB3	9606.ENSP00000362464	4
GJB4	9606.ENSP00000345868	2
GLDC	9606.ENSP00000370737	36
GLE1	9606.ENSP00000308622	12
GLI2	9606.ENSP00000390436	37
GLYCTK	9606.ENSP00000389175	5
GMNN	9606.ENSP00000230056	25
GMPPA	9606.ENSP00000350949	24
GMPPB	9606.ENSP00000309092	39
GNAO1	9606.ENSP00000262494	20
GNPAT	9606.ENSP00000355607	24
GORAB	9606.ENSP00000356737	8
GOT2	9606.ENSP00000245206	47
GPKOW	9606.ENSP00000156109	9
GPT2	9606.ENSP00000345282	21
GRIA2	9606.ENSP00000296526	51
GRIA4	9606.ENSP00000282499	30
GRIK2	9606.ENSP00000397026	34
GRIN1	9606.ENSP00000360608	26
GRIN2A	9606.ENSP00000332549	49
GRIN2B	9606.ENSP00000477455	54
GRIN2D	9606.ENSP00000263269	14
GRIP1	9606.ENSP00000381098	19
GRM7	9606.ENSP00000350348	15
GTF2E2	9606.ENSP00000348168	20
GTF2H5	9606.ENSP00000476100	35
GTPBP2	9606.ENSP00000303997	2
HAAO	9606.ENSP00000294973	2
HACE1	9606.ENSP00000262903	3
HADHA	9606.ENSP00000370023	30
HCCS	9606.ENSP00000370139	15
HCFC1	9606.ENSP00000309555	35
HCN1	9606.ENSP00000307342	2
HDAC4	9606.ENSP00000264606	53
HDAC8	9606.ENSP00000362674	31
HES7	9606.ENSP00000446205	2
HHAT	9606.ENSP00000438468	7
HIVEP2	9606.ENSP00000356576	4
HMGCL	9606.ENSP00000363614	33
HNMT	9606.ENSP00000280097	10
HNRNPH2	9606.ENSP00000361927	9
HNRNPK	9606.ENSP00000365458	38
HNRNPU	9606.ENSP00000491215	39
HPDL	9606.ENSP00000335060	4
HSD17B10	9606.ENSP00000168216	31
HSPD1	9606.ENSP00000340019	58
HSPG2	9606.ENSP00000363827	25
HTRA2	9606.ENSP00000258080	13
HUWE1	9606.ENSP00000340648	36
IARS1	9606.ENSP00000364794	48
IBA57	9606.ENSP00000355672	20
IER3IP1	9606.ENSP00000256433	9
IFIH1	9606.ENSP00000497271	22
IFT140	9606.ENSP00000406012	16
IFT172	9606.ENSP00000260570	21
IGF1	9606.ENSP00000376637	47
IGF1R	9606.ENSP00000497069	37
IKBKG	9606.ENSP00000483825	20
INPP5E	9606.ENSP00000360777	8
INPP5K	9606.ENSP00000413937	5
INSR	9606.ENSP00000303830	26
IQSEC1	9606.ENSP00000480301	4
IQSEC2	9606.ENSP00000495726	19
ISCA1	9606.ENSP00000365159	10
ITGA3	9606.ENSP00000315190	8
ITGB6	9606.ENSP00000283249	6
ITPA	9606.ENSP00000369456	22
