ID	log2(fold change)	-log10(Pvalue)
A_23_P163353	-1.128	4.346
A_23_P165984	0.465	3.423
A_23_P166	1.032	4.205
A_23_P166051	0.641	3.066
A_23_P166797	3.123	4.018
A_23_P166884	1.747	3.431
A_23_P167129	0.822	3.594
A_23_P167159	0.449	3.22
A_23_P167358	0.677	3.704
A_23_P167983	1.381	6.567
A_23_P168551	-0.643	4.048
A_23_P168556	0.495	3.504
A_23_P16944	-0.438	3.09
A_23_P169629	0.856	4.609
A_23_P169978	0.531	3.634
A_23_P170186	0.95	3.502
A_23_P17663	6.495	8.971
A_23_P18447	1.045	3.953
A_23_P18604	1.459	4.693
A_23_P1962	1.511	6.701
A_23_P200325	1.026	3.263
A_23_P200670	0.697	3.942
A_23_P20122	2.871	5.767
A_23_P201342	-0.558	3.724
A_23_P201459	6.886	9.929
A_23_P202978	3.22	3.744
A_23_P204087	4.21	6.191
A_23_P20443	-0.509	3.24
A_23_P204484	-0.555	4.32
A_23_P205875	0.708	3.198
A_23_P207319	0.51	3.156
A_23_P20752	0.646	3.83
A_23_P209200	-0.48	3.853
A_23_P210690	1.504	6.286
A_23_P21134	2.369	7.787
A_23_P21207	0.935	3.403
A_23_P212475	1.01	5.614
A_23_P212608	-0.842	4.06
A_23_P213385	-0.408	3.334
A_23_P214080	0.776	3.69
A_23_P214267	-2.132	3.887
A_23_P214587	0.487	3.104
A_23_P216655	4.049	5.966
A_23_P216920	-0.431	3.288
A_23_P217901	-1.107	3.406
A_23_P218463	0.601	3.531
A_23_P22682	0.375	3.087
A_23_P23074	6.963	8.672
A_23_P23141	-0.566	4.228
A_23_P23947	0.842	3.799
A_23_P24004	6.597	10.17
A_23_P250358	7.03	10.146
A_23_P250629	3.346	6.302
A_23_P25194	0.901	4.771
A_23_P252106	0.562	4.289
A_23_P25403	0.588	3.334
A_23_P254863	1.363	5.62
A_23_P255535	1.129	3.091
A_23_P257417	0.411	3.256
A_23_P257649	-0.415	3.078
A_23_P257803	1.907	3.251
A_23_P257834	1.099	4.07
A_23_P257905	-0.692	4.698
A_23_P258944	0.524	3.374
A_23_P259292	0.92	3.43
A_23_P259580	0.947	3.649
A_23_P26583	2.728	4.175
A_23_P27649	0.664	3.769
A_23_P29773	1.835	3.535
A_23_P29922	4.082	6.602
A_23_P29953	2.009	3.81
A_23_P30069	5.26	9.977
A_23_P301372	0.469	3.158
A_23_P306352	1.528	4.157
A_23_P307400	0.575	3.852
A_23_P308974	1.195	3.5
A_23_P310582	0.786	4.29
A_23_P315364	3.258	7.126
A_23_P315451	0.419	3.318
A_23_P316121	-0.735	3.845
A_23_P316582	1.026	3.311
A_23_P319013	0.537	3.354
A_23_P320739	1.558	4.716
A_23_P321501	0.941	4.405
A_23_P3221	0.707	3.362
A_23_P32233	2.65	5.463
A_23_P32404	0.61	3.352
A_23_P325661	0.437	3.119
A_23_P328740	3.235	5.223
A_23_P334664	1.356	6.154
A_23_P336992	0.808	3.129
A_23_P337800	3.289	4.031
A_23_P340188	0.841	3.557
A_23_P342668	0.408	3.072
A_23_P343411	0.47	3.581
A_23_P348264	0.718	4.089
A_23_P34915	2.474	8.019
A_23_P350107	0.64	3.559
A_23_P35082	1.159	5.216
A_23_P351215	0.631	4.142
A_23_P352266	-0.427	3.387
A_23_P354027	0.546	4.013
A_23_P354547	2.046	4.826
A_23_P354827	0.643	4.111
A_23_P3552	0.897	3.991
A_23_P356163	1.226	3.393
A_23_P356526	0.631	4.356
A_23_P356565	0.477	3.384
A_23_P358944	1.616	7.295
A_23_P359214	2.246	4.768
A_23_P35989	0.615	3.447
A_23_P359897	0.4	3.293
A_23_P362637	0.467	3.854
A_23_P363301	1.125	4.853
A_23_P365719	1.018	5.203
A_23_P36658	-0.645	3.685
A_23_P370682	5.647	6.154
A_23_P374149	0.658	3.71
A_23_P37441	1.85	6.267
A_23_P37892	0.527	3.691
A_23_P380318	2.137	4.504
A_23_P380857	1.457	4.033
A_23_P38346	4.05	7.576
A_23_P384532	0.583	3.223
A_23_P39237	0.945	5.196
A_23_P392476	0.598	3.128
A_23_P393749	0.391	3.179
A_23_P39454	1.706	3.093
A_23_P39465	8.844	10.798
A_23_P397019	0.531	3.707
A_23_P39766	1.251	5.014
A_23_P39955	-0.862	3.765
A_23_P403081	0.492	3.524
A_23_P405885	0.623	3.562
A_23_P407206	-0.552	3.933
A_23_P408353	0.492	3.633
A_23_P411296	0.978	5.648
A_23_P413803	0.56	3.346
A_23_P41470	5.701	4.785
A_23_P416395	1.291	5.071
A_23_P417261	1.442	3.402
A_23_P41765	1.782	5.575
A_23_P420196	1.12	3.333
A_23_P421011	0.465	3.387
A_23_P421811	0.649	3.252
A_23_P42397	-0.548	3.278
A_23_P42718	1.008	5.497
A_23_P427703	0.453	3.413
A_23_P428248	0.868	3.737
A_23_P429998	1.005	3.646
A_23_P430411	2.909	3.327
A_23_P430728	3.194	5.195
A_23_P432591	0.637	3.561
A_23_P432610	-0.394	3.086
A_23_P433152	0.937	5.026
A_23_P45185	0.842	3.275
A_23_P45871	5.515	9.889
A_23_P46829	2.232	4.95
A_23_P47691	2.29	5.643
A_23_P48029	0.895	5.161
A_23_P48807	0.514	3.324
A_23_P48826	0.591	3.273
A_23_P49041	0.955	5.372
A_23_P500130	-0.433	3.34
A_23_P50217	0.641	4.378
A_23_P50426	-0.433	3.333
A_23_P51479	1.268	3.387
A_23_P51936	2.766	3.72
A_23_P52207	0.599	4.517
A_23_P52266	5.051	8.997
A_23_P53126	1.558	4.768
A_23_P53137	2.115	6.183
A_23_P53267	0.4	3.298
A_23_P54469	2.084	6.915
A_23_P54622	-0.971	5.27
A_23_P54846	1.313	5.917
A_23_P55127	0.62	4.127
A_23_P55136	-0.399	3.228
A_23_P55706	1.047	5.586
A_23_P55990	0.561	3.761
A_23_P56654	0.798	4.501
A_23_P57856	0.959	5.238
A_23_P58321	-0.639	3.249
A_23_P58390	1.811	3.814
A_23_P58538	0.731	4.644
A_23_P59005	4.812	9.577
A_23_P60079	1.268	4.941
A_23_P60180	-0.407	3.158
A_23_P60534	-0.784	4.536
A_23_P61674	0.841	5.493
A_23_P6263	2.623	4.292
A_23_P62890	2.913	3.656
A_23_P63870	0.623	3.203
A_23_P64661	2.472	5.481
A_23_P64669	0.419	3.605
A_23_P64828	8.029	11.8
A_23_P65100	0.695	3.884
A_23_P65262	0.59	3.333
A_23_P65427	0.684	4.723
A_23_P65442	4.241	8.315
A_23_P66241	1.385	4.197
A_23_P68155	7.776	10.634
A_23_P68978	0.839	3.579
A_23_P69109	3.064	6.387
A_23_P69383	3.938	7.646
A_23_P69497	1.035	4.91
A_23_P70398	1.681	5.77
A_23_P7144	3.577	7.017
A_23_P71774	7.722	9.864
A_23_P7253	0.732	4.563
A_23_P72737	7.018	10.242
A_23_P73150	0.629	3.844
A_23_P74290	2.369	4.315
A_23_P74581	0.842	4.366
A_23_P74895	-0.878	5.102
A_23_P75786	1.438	5.986
A_23_P75811	1.22	4.752
A_23_P76078	0.775	3.391
A_23_P76291	0.581	3.645
A_23_P76774	3.905	5.693
A_23_P76914	1.292	3.336
A_23_P79331	1.734	3.722
A_23_P80718	1.44	3.976
A_23_P81898	2.467	4.396
A_23_P819	6.076	10.321
A_23_P85441	-0.43	3.507
A_23_P85765	2.113	3.744
A_23_P8640	1.132	3.362
A_23_P86470	6.985	6.893
A_23_P87150	0.729	3.927
A_23_P87545	1.9	6.971
A_23_P87879	1.571	5.421
A_23_P88234	0.866	4.023
A_23_P89310	-0.666	4.589
A_23_P90172	1.21	5.475
A_23_P91350	0.457	3.401
A_23_P91430	2.828	5.831
A_23_P92614	0.713	4.714
A_23_P93792	0.542	3.899
A_23_P9415	-0.596	3.863
A_23_P97064	1.22	4.081
A_23_P99076	0.686	4.012
A_23_P99632	0.732	4.423
A_24_P101391	-1.367	6.928
A_24_P101651	1.954	3.584
A_24_P107897	0.473	3.494
A_24_P11061	2.906	7.366
A_24_P113572	0.675	3.608
A_24_P120934	1.072	4.247
A_24_P12401	1.566	6.955
A_24_P12435	0.891	5.584
