ID	log2(fold change)	-log10(Pvalue)
A_23_P349928	-0.64	4.467
A_23_P349966	1.794	6.525
A_23_P350001	1.016	3.795
A_23_P350005	0.811	3.271
A_23_P350045	-0.582	3.901
A_23_P350059	-0.752	3.031
A_23_P350074	0.95	3.756
A_23_P350107	-0.491	2.844
A_23_P3502	0.312	2.106
A_23_P350234	-0.626	3.32
A_23_P350512	0.521	1.793
A_23_P350555	0.675	4.062
A_23_P350617	1.481	4.766
A_23_P35066	-0.304	2.258
A_23_P350689	-0.783	4.41
A_23_P350719	1.002	2.472
A_23_P350754	-0.696	5.002
A_23_P350808	1.182	2.26
A_23_P35082	2.487	7.637
A_23_P350886	-0.566	3.77
A_23_P351138	-0.96	2.693
A_23_P351215	1.684	7.195
A_23_P351275	-0.42	2.827
A_23_P351295	1.617	3.001
A_23_P351305	-0.486	2.686
A_23_P351320	0.783	4.242
A_23_P351342	0.396	2.025
A_23_P3514	0.394	3.308
A_23_P35148	0.363	2.064
A_23_P35168	-0.661	4.296
A_23_P351734	0.532	2.663
A_23_P351866	0.54	1.808
A_23_P35219	-0.676	2.075
A_23_P352266	-0.642	4.567
A_23_P35230	-0.929	4.538
A_23_P352358	0.306	2.181
A_23_P352535	-0.3	1.869
A_23_P35256	0.859	4.239
A_23_P352717	0.603	3.098
A_23_P35277	-1.371	2.273
A_23_P35293	0.528	1.799
A_23_P352950	-0.559	3.823
A_23_P353056	1.315	5.739
A_23_P3532	-0.852	3.782
A_23_P353316	0.377	2.173
A_23_P35343	-1.016	4.817
A_23_P35349	-0.805	3.932
A_23_P353514	-0.723	3.37
A_23_P353524	-1.604	2.976
A_23_P353667	1.451	5.252
A_23_P353717	-0.865	5.582
A_23_P353742	0.292	2.17
A_23_P353744	0.822	2.002
A_23_P354027	1.391	6.906
A_23_P354074	0.632	2.11
A_23_P35414	1.068	3.519
A_23_P354217	1.85	5.705
A_23_P354288	-0.797	1.773
A_23_P354297	0.412	2.638
A_23_P354387	0.524	2.891
A_23_P354547	1.19	3.254
A_23_P35456	-0.459	3.015
A_23_P354705	-0.638	3.108
A_23_P354734	-0.355	2.675
A_23_P354827	1.412	6.538
A_23_P354855	-1.558	2.77
A_23_P354908	-0.206	1.735
A_23_P354965	-1.294	1.946
A_23_P355067	-0.37	1.813
A_23_P3552	1.889	6.276
A_23_P355289	0.566	3.226
A_23_P355311	0.499	2.171
A_23_P355385	0.603	3.801
A_23_P355439	1.083	3.144
A_23_P355447	-1.199	6.371
A_23_P355536	-0.352	2.53
A_23_P35564	-0.806	3.359
A_23_P35576	-0.92	3.983
A_23_P355993	0.427	1.971
A_23_P356021	-0.848	3.939
A_23_P356122	0.633	4.423
A_23_P356139	-1.369	4.116
A_23_P356152	-0.907	2.082
A_23_P356163	1.54	4.041
A_23_P35617	-0.523	2.221
A_23_P3562	1.054	5.556
A_23_P356330	0.642	3.907
A_23_P356425	2.221	2.228
A_23_P35645	-0.938	4.918
A_23_P356494	0.917	4.517
A_23_P356526	-0.35	2.718
A_23_P356554	-0.447	2.806
A_23_P356565	1.317	6.453
A_23_P356677	-0.567	3.607
A_23_P356684	-0.884	3.084
A_23_P356694	-1.589	3.766
A_23_P356717	-0.673	3.363
A_23_P35684	-0.458	2.341
A_23_P357101	-0.704	2.074
A_23_P357185	-0.924	4.408
A_23_P357207	-0.645	2.257
A_23_P357248	0.605	2.951
A_23_P357365	0.478	1.89
A_23_P3574	-0.246	1.833
A_23_P357760	-0.933	1.754
A_23_P357794	0.268	2.27
A_23_P357811	-0.332	2.432
A_23_P35782	-0.359	1.949
A_23_P357860	-0.827	3.966
A_23_P357881	-1.361	1.969
A_23_P357929	0.894	5.463
A_23_P35796	1.064	5.752
A_23_P358195	1.625	5.042
A_23_P35820	-0.38	2.071
A_23_P358221	-0.265	1.795
A_23_P358410	-1.117	5.403
A_23_P35848	0.262	1.961
A_23_P358542	0.738	2.922
A_23_P358597	-0.817	4.048
A_23_P358709	1.332	2.445
A_23_P358995	0.309	2.392
A_23_P359043	-0.702	3.325
A_23_P359214	3.37	6.028
A_23_P359430	0.295	2.068
A_23_P359457	-1.132	2.86
A_23_P359540	-0.403	2.288
A_23_P359647	0.28	2.08
A_23_P359655	-0.886	5.094
A_23_P35970	-0.332	2.336
A_23_P359738	0.568	4.222
A_23_P359746	0.751	1.759
A_23_P35977	0.526	1.856
A_23_P359854	-1.253	5.579
A_23_P35989	1.486	6.105
A_23_P359897	0.94	5.84
A_23_P359904	-0.87	5.153
A_23_P35995	-1.01	3.969
A_23_P360179	0.624	3.609
A_23_P3602	-0.675	3.612
A_23_P360209	-0.492	2.261
A_23_P360245	-0.47	2.938
A_23_P360268	-2.339	2.268
A_23_P360354	0.838	3.49
A_23_P360626	1.952	5.146
A_23_P360744	0.43	2.08
A_23_P36076	-0.693	4.956
A_23_P360769	-1.113	4.281
A_23_P360964	0.626	3.93
A_23_P360990	-0.937	2.287
A_23_P361014	1.611	2.7
A_23_P361049	-0.48	3.748
A_23_P361085	0.476	3.537
A_23_P361333	-1.803	4.035
A_23_P361381	-1.46	3.465
A_23_P361419	-1.491	5.365
A_23_P361469	0.424	3.464
A_23_P36157	0.42	2.846
A_23_P361584	-0.727	3.369
A_23_P361820	0.732	3.51
A_23_P36183	0.894	5.072
A_23_P361841	-0.772	4.753
A_23_P361940	0.575	1.921
A_23_P362183	-0.725	4.881
A_23_P362228	-0.873	5.029
A_23_P362637	1.403	7.261
A_23_P362659	-0.541	3.969
A_23_P36266	0.585	4.299
A_23_P362712	-0.353	2.257
A_23_P362736	1.047	2.781
A_23_P36305	-1.254	4.738
A_23_P363275	0.998	3.493
A_23_P363301	2.316	7.123
A_23_P363313	-0.636	3.49
A_23_P363316	0.769	2.022
A_23_P363778	-1.174	4.494
A_23_P363896	-0.385	2.834
A_23_P363968	-1.156	2.087
A_23_P36397	1.496	5.335
A_23_P364517	0.38	2.837
A_23_P364544	0.35	2.253
A_23_P364613	0.537	1.863
A_23_P364625	-1.727	1.976
A_23_P36464	0.391	2.893
A_23_P364766	0.423	3.172
A_23_P364792	0.641	2.407
A_23_P364837	-1.101	4.942
A_23_P36484	1.008	1.833
A_23_P364890	0.365	1.989
A_23_P365226	1.407	4.231
A_23_P365248	0.492	1.865
A_23_P365614	-0.361	2.038
A_23_P36562	0.253	2.007
A_23_P365725	0.612	2.629
A_23_P365738	2.203	5.226
A_23_P365767	-1.313	2.678
A_23_P365817	-0.641	4.421
A_23_P36611	-0.667	2.339
A_23_P366125	-0.512	2.568
A_23_P366230	-0.504	1.824
A_23_P3663	0.754	4.446
A_23_P366328	0.723	4.704
A_23_P366366	0.682	4.658
A_23_P366394	-0.316	1.959
A_23_P366453	-0.643	3.753
A_23_P36647	-0.549	3.682
A_23_P36658	-1.37	5.964
A_23_P366726	-0.943	3.761
A_23_P366812	-0.523	2.288
A_23_P36700	1.333	2.204
A_23_P367043	0.412	2.621
A_23_P36724	0.448	2.501
A_23_P367405	-0.633	3.916
A_23_P367586	1.034	2.348
A_23_P367628	-0.793	3.917
A_23_P367676	-0.665	3.841
A_23_P367899	0.49	1.88
A_23_P36795	0.393	2.315
A_23_P3681	-0.788	3.485
A_23_P368145	0.561	2.609
A_23_P368225	0.372	2.328
A_23_P368259	-0.699	3.351
A_23_P368278	-0.62	3.622
A_23_P368484	0.212	1.74
A_23_P368691	0.674	2.993
A_23_P368711	-0.688	1.851
A_23_P368718	0.525	2.597
A_23_P368779	0.423	2.702
A_23_P36882	1.56	3.011
A_23_P368934	-1.161	6.629
A_23_P368996	1.301	5.326
A_23_P36928	-0.536	3.303
A_23_P369328	-0.465	3.73
A_23_P369471	-0.867	1.972
A_23_P369479	-0.341	2.328
A_23_P369654	-1.803	1.763
A_23_P369666	-1.282	3.56
A_23_P369701	-0.691	3.028
A_23_P369733	0.55	3.862
A_23_P36985	-1.59	3.768
A_23_P369899	-0.961	2.107
A_23_P369983	0.649	3.84
A_23_P37005	0.573	3.121
A_23_P370097	-0.388	2.35
A_23_P370434	-0.728	4.464
A_23_P370454	-1.075	4.404
A_23_P370569	0.785	3.005
A_23_P370625	-0.589	3.765
A_23_P370666	0.678	3.382
A_23_P370682	2.783	3.988
A_23_P370989	-0.891	4.896
A_23_P371011	0.43	2.345
A_23_P371129	-0.446	3.467
A_23_P371266	0.64	2.901
A_23_P371410	-0.662	3.377
A_23_P37144	-0.575	2.389
A_23_P371613	-0.441	3.229
A_23_P37167	-1.667	2.707
A_23_P371824	1.423	5.413
A_23_P371876	0.464	2.436
A_23_P37191	-0.518	3.434
A_23_P372096	-1.043	5.985
A_23_P372255	-0.7	4.567
A_23_P372308	-1.586	5.052
A_23_P372331	0.417	3.112
A_23_P372334	-0.49	3.55
A_23_P372638	0.602	3.203
A_23_P37265	0.383	2.302
A_23_P372771	-0.789	3.883
A_23_P37283	0.735	5.027
A_23_P372860	1.302	3.592
A_23_P372925	-0.577	4.073
A_23_P373031	-0.349	1.938
A_23_P373054	-0.481	2.573
A_23_P373079	-0.239	1.795
A_23_P373119	-0.761	4.943
A_23_P37327	0.391	3.133
A_23_P37347	-0.456	2.571
A_23_P373568	-0.235	1.854
A_23_P37359	-0.673	1.801
A_23_P373598	1.409	5.035
A_23_P373619	2.342	3.909
A_23_P373687	0.604	1.885
A_23_P373708	0.593	1.85
A_23_P37375	0.562	3.721
A_23_P374082	-1.186	5.882
A_23_P374149	0.323	1.936
A_23_P37424	0.649	3.46
A_23_P374351	-0.308	2.009
A_23_P374389	0.403	2.592
A_23_P37441	1.366	5.315
A_23_P374689	0.958	4.705
A_23_P374767	-0.489	3.118
A_23_P374902	-0.557	1.881
A_23_P375	-0.468	3.527
A_23_P37514	-1.019	4.97
A_23_P375147	-0.224	1.738
A_23_P375354	0.988	4.511
A_23_P37545	-0.299	2.508
A_23_P375566	-0.377	2.171
A_23_P37569	-1.153	5.277
A_23_P376088	0.447	3.074
A_23_P376449	0.396	1.88
A_23_P376488	2.306	3.536
A_23_P37654	-0.549	4.23
A_23_P376599	-0.551	3.931
A_23_P376627	0.322	1.797
A_23_P376759	0.267	1.856
A_23_P376799	0.507	3.769
A_23_P376870	0.986	5.534
A_23_P377094	-1.265	3.586
A_23_P377212	-2.653	4.993
A_23_P377245	-0.774	2.356
A_23_P377291	0.507	1.837
A_23_P377376	-0.25	2.183
A_23_P377434	-0.57	4.219
A_23_P3775	0.294	2.178
A_23_P377629	-1.215	2.04
A_23_P377819	-0.577	3.162
A_23_P377882	0.506	2.841
A_23_P377965	-0.757	4.977
A_23_P378288	-0.45	2.709
A_23_P378416	-0.64	2.915
A_23_P378526	0.545	3.101
A_23_P378690	-0.788	2.744
A_23_P37877	0.277	1.876
A_23_P37892	0.914	5.335
A_23_P379026	-0.306	2.195
A_23_P379034	0.494	2.316
A_23_P379071	0.722	4.166
A_23_P379200	-0.868	3.155
A_23_P379327	0.307	2.472
A_23_P379475	-1.028	5.255
A_23_P37949	-0.447	2.086
A_23_P379550	1.493	5.938
A_23_P379614	-0.561	3.652
A_23_P379630	-0.922	5.056
A_23_P379649	-0.52	3.498
A_23_P379789	1.46	5.758
A_23_P379794	-1.142	3.651
A_23_P37983	-0.503	3.927
A_23_P379945	-0.776	5.182
A_23_P38015	0.919	4.99
A_23_P380181	0.521	4.174
A_23_P380208	0.504	3.333
A_23_P380318	5.406	7.416
A_23_P380326	0.468	3.275
A_23_P380379	0.613	2.382
A_23_P38041	-0.474	3.803
A_23_P380614	-0.946	4.649
A_23_P380857	1.16	3.386
A_23_P380881	-0.984	4.685
A_23_P380917	-0.311	2.451
A_23_P380928	0.78	4.109
A_23_P380951	0.853	4.948
A_23_P380965	-0.355	2.254
A_23_P381102	-0.494	3.322
A_23_P381261	-2.196	3.377
A_23_P381461	-0.356	1.85
A_23_P381577	-0.314	1.978
A_23_P38167	0.815	4.621
A_23_P382043	-0.443	2.86
A_23_P382045	-0.53	3.782
A_23_P38206	-0.556	2.312
A_23_P382188	-0.544	2.43
A_23_P38219	-0.271	1.742
A_23_P382199	0.371	2.341
A_23_P3823	-0.384	2.872
A_23_P382488	0.525	1.837
A_23_P382602	-0.354	2.879
A_23_P38271	-1.103	5.339
A_23_P382775	0.578	3.703
A_23_P382794	-1.241	2.503
A_23_P382835	0.386	1.946
A_23_P383009	-1.35	6.169
A_23_P383118	0.627	3.844
A_23_P383132	-0.267	2.278
A_23_P383325	0.964	2.682
A_23_P38346	5.533	8.584
A_23_P383601	-1.1	4.114
A_23_P38365	0.686	4.221
A_23_P383679	1.469	3.825
A_23_P383819	-1.809	3.459
A_23_P383986	-0.912	5.604
A_23_P384023	0.766	2.164
A_23_P384044	0.677	4.225
A_23_P384056	-1.015	4.669
A_23_P38408	0.455	3.709
A_23_P38427	-0.595	2.031
A_23_P384329	0.595	2.252
A_23_P384532	2.342	7.469
A_23_P38457	-0.291	2.723
A_23_P384635	0.53	3.308
A_23_P38468	-0.494	3.493
A_23_P384698	-0.691	2.628
A_23_P384761	-1.582	4.094
A_23_P38482	0.434	3.364
A_23_P385034	-1.114	5.151
A_23_P385246	-0.332	2.938
A_23_P385322	-0.629	2.812
A_23_P38567	-0.783	4.674
A_23_P385766	0.557	1.91
A_23_P385771	0.809	4.868
A_23_P385911	0.402	2.912
A_23_P38603	0.567	1.886
A_23_P386168	0.286	2.156
A_23_P38618	1.084	3.414
A_23_P386241	-0.433	2.972
A_23_P386254	0.443	2.388
A_23_P386268	1.132	3.874
A_23_P386320	-1.462	3.347
A_23_P386364	0.442	2.115
A_23_P386420	0.233	1.761
A_23_P386912	0.515	2.101
A_23_P386942	-0.884	5.137
A_23_P387000	-1.255	4.591
A_23_P387045	0.266	2.324
A_23_P387057	-1.375	5.929
A_23_P387184	-0.639	3.17
A_23_P387471	4.386	5.585
A_23_P387523	-0.355	2.905
A_23_P387537	-1.796	2.661
A_23_P387585	-0.835	4.645
A_23_P387630	1.349	5.021
A_23_P387656	-0.72	3.253
A_23_P38784	-1.205	2.625
A_23_P387943	-0.313	2.312
A_23_P38795	1.034	3.323
A_23_P388061	0.488	1.775
A_23_P388124	1.859	3.544
A_23_P388146	-0.647	3.563
A_23_P388190	-0.652	4.57
A_23_P388220	0.878	4.829
A_23_P388379	-0.901	2.296
A_23_P388433	-1.124	4.763
A_23_P388670	-0.928	5.43
A_23_P388681	-0.474	2.935
A_23_P388855	0.386	1.746
A_23_P388900	0.721	3.361
A_23_P389102	0.668	4.162
A_23_P389118	-0.296	1.872
A_23_P389141	1.021	2.899
A_23_P389250	0.808	3.399
A_23_P389281	3.427	6.368
A_23_P389391	0.82	4.714
A_23_P38952	-0.91	2.296
A_23_P389907	0.553	3.711
A_23_P389919	-0.613	4.612
A_23_P389987	2.098	3.441
A_23_P390032	-1.065	3.967
A_23_P390097	0.721	2.692
A_23_P390139	-0.599	3.428
A_23_P390148	-0.476	2.365
A_23_P390172	0.584	1.77
A_23_P39024	0.845	4.387
A_23_P39034	-0.273	2.007
A_23_P39050	0.371	2.343
A_23_P390621	-0.61	3.064
A_23_P390722	-0.896	5.468
A_23_P390726	0.551	2.139
A_23_P390734	0.623	3.665
A_23_P39076	0.292	1.766
A_23_P39088	-0.426	3.15
A_23_P391164	-0.741	2.757
A_23_P391228	-0.558	3.556
A_23_P391506	-0.913	4.575
A_23_P391607	-0.323	1.93
A_23_P391637	-0.706	4.011
A_23_P391689	-0.561	4.065
A_23_P391725	0.797	4.868
A_23_P391844	2.011	2.824
A_23_P392222	0.374	2.911
A_23_P39223	0.985	3.298
A_23_P392317	-1.397	2.338
A_23_P39237	3.059	8.946
A_23_P392384	-1.434	6.508
A_23_P392470	0.471	1.872
A_23_P392476	1.641	6.138
A_23_P39251	1.13	5.251
A_23_P39263	0.438	2.651
A_23_P393025	1.032	4.382
A_23_P393034	-0.966	3.612
A_23_P39315	1.101	1.82
A_23_P393425	0.732	4.691
A_23_P393531	1.08	4.429
A_23_P393620	0.99	3.649
A_23_P39364	-0.614	4.471
A_23_P393645	0.412	1.808
A_23_P393686	0.515	1.889
A_23_P393713	0.832	4.82
A_23_P393727	0.606	1.988
A_23_P393749	1.205	6.566
A_23_P39375	0.768	4.336
A_23_P393758	-0.625	4.017
A_23_P394043	0.632	3.403
A_23_P394064	0.659	3.22
A_23_P394166	-0.726	3.348
A_23_P394323	-1.008	3.253
A_23_P39453	-0.62	3.757
A_23_P39454	1.735	3.139
A_23_P394545	0.664	3.211
A_23_P394567	-0.336	2.098
A_23_P394605	0.348	2.956
A_23_P39465	5.882	9.473
A_23_P395075	0.951	3.866
A_23_P39517	0.495	2.79
A_23_P395374	-0.433	2.152
A_23_P395426	-0.383	1.898
A_23_P39550	0.895	3.477
A_23_P395555	0.72	4.994
A_23_P395632	0.928	3.218
A_23_P39602	0.475	2.85
A_23_P39605	0.947	3.638
A_23_P39616	0.343	1.835
A_23_P396328	-0.289	2.374
A_23_P396353	-0.991	5.139
A_23_P39647	0.727	2.782
A_23_P39656	0.652	3.609
A_23_P396626	-0.379	2.557
A_23_P396666	-0.28	2.515
A_23_P396777	-1.103	3.594
A_23_P396858	-0.597	3.213
A_23_P396981	0.866	4.702
A_23_P397019	1.03	5.706
A_23_P397055	-0.427	2.508
A_23_P397120	-1.316	3.852
A_23_P397208	-0.477	2.909
A_23_P397238	-1.062	4.64
A_23_P397341	-0.82	3.026
A_23_P397347	-1.147	3.934
A_23_P397455	3.269	4.035
A_23_P397543	0.476	2.772
A_23_P39766	1.4	5.359
A_23_P397856	-0.663	3.802
A_23_P397899	-0.577	3.735
A_23_P39799	0.294	2.639
A_23_P39813	-0.451	3.497
A_23_P39814	0.378	2.61
A_23_P398189	0.839	2.165
A_23_P3982	-0.673	4.561
A_23_P398294	0.879	4.356
A_23_P398372	-0.667	3.774
A_23_P39840	-0.758	2.009
A_23_P398530	-0.886	3.875
A_23_P398566	0.705	4.604
A_23_P398637	-0.541	2.693
A_23_P398712	0.362	1.817
A_23_P398943	1.261	2.04
A_23_P399001	0.628	3.35
A_23_P39910	-0.572	2.39
A_23_P399217	0.512	1.752
A_23_P3994	-0.754	4.679
A_23_P399501	-0.498	2.538
A_23_P399797	1.048	4.423
A_23_P400078	0.375	3.323
A_23_P400147	-0.469	3.232
A_23_P400235	0.382	2.981
A_23_P40025	-0.738	4.552
A_23_P400449	-0.785	3.265
A_23_P400459	0.687	4.023
A_23_P400465	-0.377	2.936
A_23_P400515	1.068	4.084
A_23_P4007	0.635	3.235
A_23_P40072	0.299	2.077
A_23_P400984	-0.836	3.572
A_23_P401	-0.598	4.109
A_23_P401014	0.889	3.971
A_23_P401055	-0.484	3.774
A_23_P401076	0.826	3.643
A_23_P401098	0.283	1.802
A_23_P401106	0.414	1.892
A_23_P401472	1.597	5.259
A_23_P401547	0.512	3.804
A_23_P401568	-1.069	4.077
A_23_P401691	-0.503	2.273
A_23_P401709	0.567	2.934
A_23_P401774	1.446	4.695
A_23_P401904	-0.549	3.961
A_23_P40192	-0.344	1.929
A_23_P40194	-0.214	1.891
A_23_P40217	0.753	2.63
A_23_P402176	2.939	4.918
A_23_P402287	-0.375	2.533
A_23_P402610	-0.89	5.101
A_23_P402733	-0.649	3.057
A_23_P402787	1.083	5.616
A_23_P402936	1.373	3.998
A_23_P402952	0.417	2.635
A_23_P40307	-0.395	2.401
A_23_P403081	0.77	4.843
A_23_P403398	-0.845	3.268
A_23_P403424	0.469	1.915
A_23_P40347	0.486	3.714
A_23_P403488	0.514	1.734
A_23_P403588	-1.182	5.298
A_23_P403898	-0.479	1.928
A_23_P403955	-1.88	5.133
A_23_P404091	0.524	3.082
A_23_P4041	-0.331	2.931
A_23_P404108	0.274	1.892
A_23_P404162	-0.759	2.519
A_23_P404481	-1.041	2.427
A_23_P404494	0.569	1.872
A_23_P404565	0.661	2.844
A_23_P404606	1.427	5.465
A_23_P404667	0.808	3.684
A_23_P404678	-0.748	2.332
A_23_P404685	-0.79	3.572
A_23_P404698	0.687	2.753
A_23_P404730	-0.879	3.783
A_23_P404821	-1.01	4.021
A_23_P404965	-0.595	3.992
A_23_P405531	-0.443	3.236
A_23_P405707	-0.664	2.359
A_23_P405815	1.572	3.101
A_23_P405873	-0.564	3.07
A_23_P40588	1.13	6.275
A_23_P405885	1.538	6.306
A_23_P406025	1.091	4.646
A_23_P406131	-0.801	4.879
A_23_P406135	0.354	2.051
A_23_P406341	-0.604	2.507
A_23_P406424	-0.581	4.026
A_23_P40657	-0.364	2.362
A_23_P406702	-0.611	2.489
A_23_P406986	0.97	4.367
A_23_P407074	0.43	2.854
A_23_P407115	-0.279	1.821
A_23_P407206	-0.93	5.509
A_23_P407565	1.635	4.709
A_23_P407684	0.488	3.183
A_23_P408094	2.364	5.864
A_23_P408108	-0.25	2.093
A_23_P408167	0.753	4.187
A_23_P408175	0.607	2.467
A_23_P4082	0.781	4.562
A_23_P408239	-1.252	3.619
A_23_P408271	-0.451	2.383
A_23_P408280	0.556	2.201
A_23_P408285	1.517	5.469
A_23_P408353	1.021	5.838
A_23_P408376	0.481	3.082
A_23_P408473	0.799	4.442
A_23_P40866	0.552	3.172
A_23_P408675	0.597	3.577
A_23_P40880	-0.893	4.442
A_23_P408830	-0.491	3.074
A_23_P408913	-0.388	2.395
A_23_P408955	-0.955	6.14
A_23_P408996	-0.67	4.484
A_23_P409386	-0.875	5.547
A_23_P409438	1.324	5.05
A_23_P409449	0.816	5.387
A_23_P409502	0.544	1.816
A_23_P409516	0.291	2.136
A_23_P40952	0.554	4.379
A_23_P40956	0.778	2.718
A_23_P40989	-0.375	1.844
A_23_P410017	0.685	4.198
A_23_P41009	0.758	3.525
A_23_P410110	-0.857	3.947
A_23_P410115	1.46	1.973
A_23_P410224	0.398	2.324
A_23_P41025	-0.236	2.064
A_23_P410312	-0.752	4.055
A_23_P410587	-0.317	2.381
A_23_P410600	2.318	4.242
A_23_P410613	0.359	3.031
A_23_P41066	1.164	5.581
A_23_P410717	-0.991	2.07
A_23_P410725	0.72	3.615
A_23_P410998	-0.806	3.217
A_23_P411102	0.51	2.976
A_23_P41114	1.54	2.201
A_23_P411162	0.857	4.324
A_23_P411188	0.555	3.345
A_23_P411296	1.339	6.641
A_23_P411335	-0.808	3.002
A_23_P411612	-1.047	5.195
A_23_P41166	-0.652	3.901
A_23_P411761	0.629	2.608
A_23_P411806	-0.641	4.189
A_23_P411833	0.484	3.125
A_23_P411851	0.505	2.003
A_23_P411881	0.532	3.557
A_23_P411922	0.577	2.232
A_23_P41194	-1.348	5.142
A_23_P411953	-0.625	3.657
A_23_P41204	0.838	4.722
A_23_P412321	-0.412	3.026
A_23_P412392	-0.506	3.052
A_23_P412409	-0.461	2.59
A_23_P41246	-0.453	3.734
A_23_P412515	-0.945	2.591
A_23_P412562	2.164	4.537
A_23_P41267	0.291	2.41
A_23_P41292	-0.53	3.409
A_23_P41314	0.655	2.625
A_23_P413193	-0.752	2.985
A_23_P413303	-1.41	4.714
A_23_P413585	-1.251	2.546
A_23_P41359	0.63	4.091
A_23_P413634	0.676	4.123
A_23_P413641	0.224	1.73
A_23_P413761	-0.609	3.703
A_23_P413788	-0.363	2.636
A_23_P413796	-0.959	4.948
A_23_P413803	0.88	4.655
A_23_P413815	0.552	4.097
A_23_P413862	0.716	3.793
A_23_P41395	0.841	2.317
A_23_P414211	-0.954	1.958
A_23_P414252	1.057	4.998
A_23_P414281	0.739	2.093
A_23_P41437	0.656	4.019
A_23_P41470	4.853	4.301
A_23_P414713	-0.392	2.41
A_23_P41476	-1.218	4.088
A_23_P414895	0.607	3.411
A_23_P414899	0.78	4.181
A_23_P414913	-1.1	4.936
A_23_P414964	0.844	4.727
A_23_P414978	-0.651	3.503
A_23_P415015	-1.227	4.626
A_23_P415021	-0.965	3.831
A_23_P415061	-1.258	2.823
A_23_P41541	0.648	3.599
A_23_P415411	-1.714	6.764
A_23_P415541	0.674	1.891
A_23_P415633	-0.707	2.375
A_23_P415652	-1.158	3.791
A_23_P415827	-0.427	2.488
A_23_P4160	-0.609	3.877
A_23_P416034	-0.577	3.541
A_23_P416036	-0.585	4.239
A_23_P4161	1.008	2.288
A_23_P416112	-0.512	3.106
A_23_P416142	0.514	2.646
A_23_P416178	0.669	3.476
A_23_P416305	-1.52	5.891
A_23_P416395	2.174	6.709
A_23_P416434	0.853	1.877
A_23_P416468	-0.495	2.873
A_23_P416608	-1.636	4.847
A_23_P416686	0.302	2.028
A_23_P416747	1.479	3.273
A_23_P416821	1.796	4.817
A_23_P416965	0.781	3.181
A_23_P41716	-0.479	3.78
A_23_P417200	0.597	2
A_23_P417261	2.666	5.216
A_23_P417282	-0.62	2.776
A_23_P41734	-0.452	3.541
A_23_P417383	-0.294	2.096
A_23_P41765	1.974	5.895
A_23_P417821	0.816	2.432
A_23_P417891	-0.39	2.811
A_23_P417942	-0.431	3.351
A_23_P417974	-0.673	2.746
A_23_P418015	0.675	3.259
A_23_P418031	0.465	3.958
A_23_P418083	0.625	2.439
A_23_P418234	-0.558	3.52
A_23_P418373	-0.348	1.819
A_23_P418464	0.77	2.207
A_23_P418493	0.426	3.362
A_23_P418785	0.914	4.953
A_23_P41888	0.267	2.065
A_23_P4190	0.968	4.566
A_23_P419107	1.875	3.245
A_23_P419202	0.247	2.009
A_23_P419411	0.528	1.849
A_23_P41942	-0.345	1.93
A_23_P419503	0.749	2.536
A_23_P419602	0.375	3.137
A_23_P419696	0.273	1.794
A_23_P41976	-0.4	3.397
A_23_P419795	-0.377	1.967
A_23_P420196	1.253	3.646
A_23_P420209	0.725	4.128
A_23_P420236	1.408	5.324
A_23_P420256	-0.437	2.467
A_23_P420269	-0.497	3.015
A_23_P420348	1.3	2.246
A_23_P420361	-0.446	3.529
A_23_P420417	0.33	2.219
A_23_P42042	-0.75	4.347
A_23_P420551	-0.852	5.395
A_23_P420692	-1.047	2.378
A_23_P42080	-0.805	3.333
A_23_P420863	0.812	2.274
A_23_P42087	0.322	2.731
A_23_P420942	-2.041	3.219
A_23_P421011	0.867	5.221
A_23_P421054	0.765	3.525
A_23_P421175	0.355	1.852
A_23_P421221	0.413	3.132
A_23_P421379	1.277	2.175
A_23_P421423	-0.448	2.674
A_23_P421811	1.812	6.338
A_23_P421935	-0.325	2.759
A_23_P42198	-0.405	2.9
A_23_P422115	-0.948	5.123
A_23_P422178	0.451	3.088
A_23_P422245	0.693	2.79
A_23_P42241	-1.251	2.776
A_23_P422511	-0.382	1.744
A_23_P42257	1.51	5.239
A_23_P422718	0.798	2.923
A_23_P422732	0.785	1.888
A_23_P422766	0.871	2.619
A_23_P422794	0.266	1.973
A_23_P42282	1.424	4.477
A_23_P422831	1.117	1.915
A_23_P422849	-1.721	3.234
A_23_P423074	0.538	3.155
A_23_P423197	-0.594	4.198
A_23_P42322	0.935	3.366
A_23_P423237	1.378	2.546
A_23_P42331	-0.53	3.363
A_23_P42335	0.235	1.972
A_23_P423389	0.309	1.877
A_23_P423427	0.685	2.93
A_23_P423482	-0.767	3.28
A_23_P42358	-1.263	2.131
A_23_P423695	-0.58	4.556
A_23_P42386	0.514	1.764
A_23_P423864	-0.426	3.374
A_23_P423891	0.254	2.013
A_23_P423926	-0.75	3.427
A_23_P42397	-1.251	5.732
A_23_P424002	-0.713	4.509
A_23_P424126	-0.861	4.874
A_23_P424269	0.384	2.267
A_23_P424582	0.348	1.785
A_23_P424617	0.531	1.78
A_23_P424727	0.767	3.839
A_23_P424734	-0.474	2.846
A_23_P424878	0.5	2.917
A_23_P425066	0.513	3.599
A_23_P42507	0.699	4.311
A_23_P425304	-0.765	5.193
A_23_P425332	0.46	2.128
A_23_P4254	-1.086	4.826
A_23_P425516	-0.443	2.577
A_23_P425587	-0.668	4.058
A_23_P425750	-0.693	4.026
A_23_P42588	0.534	1.799
