ID	log2(fold change)	-log10(Pvalue)
A_19_P00809708	-0.713	1.737
A_19_P00809886	-1.081	3.381
A_19_P00810009	-0.947	4.169
A_19_P00810045	0.728	4.188
A_19_P00810205	-0.949	4.772
A_19_P00810227	0.979	2.415
A_19_P00810229	0.776	4.342
A_19_P00810259	-0.412	2.914
A_19_P00810361	-0.247	1.859
A_19_P00810465	1.275	6.103
A_19_P00810557	0.93	3.522
A_19_P00810751	-0.743	2.062
A_19_P00810899	-0.514	3.025
A_19_P00810982	0.472	2.5
A_19_P00811048	-0.271	1.881
A_19_P00811178	0.595	3.028
A_19_P00811196	0.577	4.103
A_19_P00811234	-0.757	5.054
A_19_P00811264	-0.865	3.008
A_19_P00811284	-1.617	5.826
A_19_P00811348	0.807	4.537
A_19_P00811460	-0.69	3.914
A_19_P00811533	-0.914	3.415
A_19_P00811561	-0.993	2.943
A_19_P00811613	2.15	4.954
A_19_P00811812	-1.341	3.883
A_19_P00811843	-0.347	1.885
A_19_P00811939	-1.163	4.077
A_19_P00812044	-0.854	4.139
A_19_P00812151	0.829	3.217
A_19_P00812250	-0.877	4.956
A_19_P00812502	-0.246	1.833
A_19_P00812553	-0.548	3.67
A_19_P00812582	-1.436	4.717
A_19_P00812608	0.445	2.962
A_19_P00812701	-0.757	2.794
A_19_P00812924	2.308	5.286
A_19_P00813076	0.497	2.988
A_19_P00813085	-0.636	3.293
A_19_P00813347	-1	5.644
A_19_P00813482	-1.028	4.262
A_21_P0000002	-1.247	4.803
A_21_P0000003	1.978	7.477
A_21_P0000011	-0.449	2.031
A_21_P0000013	-0.809	4.715
A_21_P0000017	-1.399	5.781
A_21_P0000018	0.372	2.582
A_21_P0000019	0.769	3.331
A_21_P0000020	-1.035	4.72
A_21_P0000021	-0.56	2.4
A_21_P0000025	0.474	1.792
A_21_P0000026	-0.305	2.812
A_21_P0000027	0.363	2.365
A_21_P0000029	-0.39	1.732
A_21_P0000030	-1.062	1.796
A_21_P0000032	-1.361	1.797
A_21_P0000035	1.028	4.998
A_21_P0000036	-0.64	2.61
A_21_P0000040	-0.693	1.958
A_21_P0000044	-0.848	4.219
A_21_P0000050	-1.723	2.533
A_21_P0000053	-0.479	2.916
A_21_P0000054	-0.829	4.77
A_21_P0000055	-0.72	3.465
A_21_P0000056	0.463	2.858
A_21_P0000058	-1.013	2.831
A_21_P0000063	-0.885	4.992
A_21_P0000065	1.24	3.225
A_21_P0000066	-2.278	3.409
A_21_P0000069	-0.45	2.729
A_21_P0000072	0.536	1.98
A_21_P0000076	-1.744	4.757
A_21_P0000081	0.247	1.974
A_21_P0000082	-0.227	1.839
A_21_P0000083	0.961	4.706
A_21_P0000084	-1.089	2.586
A_21_P0000085	-0.964	3.25
A_21_P0000088	0.603	1.861
A_21_P0000091	-1.553	4.595
A_21_P0000092	-0.359	2.554
A_21_P0000094	-0.529	2.157
A_21_P0000096	-0.584	3.209
A_21_P0000099	-0.735	3.575
A_21_P0000100	0.849	3.447
A_21_P0000102	0.36	2.031
A_21_P0000103	-0.604	2.837
A_21_P0000106	0.561	3.443
A_21_P0000107	-0.609	3.21
A_21_P0000110	-0.694	3.834
A_21_P0000111	0.518	1.776
A_21_P0000117	-0.64	1.94
A_21_P0000119	-1.014	4.719
A_21_P0000122	-0.96	3.174
A_21_P0000124	0.653	2.633
A_21_P0000125	-0.503	3.122
A_21_P0000126	0.624	2.679
A_21_P0000129	-1.152	5.177
A_21_P0000130	0.712	3.257
A_21_P0000131	-0.519	3.471
A_21_P0000133	0.641	1.935
A_21_P0000135	-0.536	3.474
A_21_P0000136	0.668	3.315
A_21_P0000140	-1.084	5.552
A_21_P0000144	-1.918	3.063
A_21_P0000146	-1.064	5.062
A_21_P0000147	0.676	3.959
A_21_P0000148	-0.325	2.598
A_21_P0000149	-0.441	2.028
A_21_P0000153	1.223	1.873
A_21_P0000157	-0.427	3.185
A_21_P0000158	-0.841	4.901
A_21_P0000160	1.018	3.008
A_21_P0000161	-1.422	5.258
A_21_P0000164	-1.687	2.323
A_21_P0000168	-0.847	4.765
A_21_P0000170	0.961	2.57
A_21_P0000172	-1.183	4.378
A_21_P0000175	-0.39	2.838
A_21_P0000176	0.591	1.768
A_21_P0000182	-0.926	2.62
A_21_P0000183	-1.011	2.49
A_21_P0000184	0.454	2.783
A_21_P0000185	-2.055	4.314
A_21_P0000193	-1.216	5.607
A_21_P0000195	0.269	1.794
A_21_P0000196	1.07	5.327
A_21_P0000197	-1.656	6.813
A_21_P0000198	-1.887	1.876
A_21_P0000199	-1.566	3.632
A_21_P0000200	0.695	4.079
A_21_P0000201	0.557	3.628
A_21_P0000202	-0.365	2.795
