p1.Name,p1.Log2FoldChange,p1.MicrocephalyRelated,r.combined_score,p2.Name,p2.Log2FoldChange,p2.MicrocephalyRelated
TRIM25,2.637,null,0.866,EIF2AK2,2.24,true
TRIM5,0.631,null,0.7,EIF2AK2,2.24,true
UBA7,0.935,null,0.405,EIF2AK2,2.24,true
USP41,5.179,null,0.602,EIF2AK2,2.24,true
XAF1,2.24,null,0.897,EIF2AK2,2.24,true
XBP1,1.039,null,0.843,EIF2AK2,2.24,true
ZC3HAV1,2.077,null,0.579,EIF2AK2,2.24,true
ZNFX1,1.162,null,0.591,EIF2AK2,2.24,true
ADAR,0.881,true,0.873,EIF2AK2,2.24,true
BDNF,0.811,true,0.487,EIF2AK2,2.24,true
CDC42,-0.76,true,0.482,EIF2AK2,2.24,true
ALB,1.099,null,0.419,EIF2AK2,2.24,true
ATF3,1.882,null,0.456,EIF2AK2,2.24,true
BCL2,-0.427,null,0.559,EIF2AK2,2.24,true
BST2,8.756,null,0.685,EIF2AK2,2.24,true
CASP1,3.22,null,0.61,EIF2AK2,2.24,true
CCL5,4.62,null,0.453,EIF2AK2,2.24,true
CCNA2,-0.639,null,0.497,EIF2AK2,2.24,true
CD8A,0.975,null,0.48,EIF2AK2,2.24,true
CMPK2,3.282,null,0.745,EIF2AK2,2.24,true
CXCL10,6.996,null,0.601,EIF2AK2,2.24,true
DDIT3,2.369,null,0.792,EIF2AK2,2.24,true
DDX58,4.068,null,0.991,EIF2AK2,2.24,true
DDX60,5.701,null,0.701,EIF2AK2,2.24,true
DHX58,4.05,null,0.87,EIF2AK2,2.24,true
DNAJB9,0.524,null,0.449,EIF2AK2,2.24,true
FOS,2.373,null,0.426,FGF8,2.232,true
H3-3B,0.0,null,0.405,FGF8,2.232,true
ICAM1,1.925,null,0.466,FGF8,2.232,true
IGF2,2.695,null,0.625,FGF8,2.232,true
IL15,2.009,null,0.438,FGF8,2.232,true
JUN,1.069,null,0.479,FGF8,2.232,true
KLF4,2.65,null,0.493,FGF8,2.232,true
SDC1,-0.438,null,0.759,FGF8,2.232,true
SIX1,1.292,null,0.419,FGF8,2.232,true
TSKU,-0.522,null,0.47,FGF8,2.232,true
VEGFD,0.0,null,0.488,FGF8,2.232,true
